Warszawa,1794166,669
Kraków,779966,416
Łódź,672185,383
Wrocław,641928,414
Poznań,532048,408
Gdańsk,470805,306
Szczecin,398255,164
Bydgoszcz,344091,89
Lublin,338586,241
Białystok,296958,87
Katowice,290553,127
Gdynia,244969,141
Częstochowa,217530,58
Radom,209296,55
Toruń,198613,78
Rzeszów,197863,67
Sosnowiec,197586,37
Kielce,193415,112
Gliwice,177049,88
Olsztyn,171249,57
Zabrze,170924,47
Bielsko-Biała,169756,31
Bytom,163255,37
Zielona Góra,140892,60
Rybnik,137128,41
Ruda Śląska,136423,41
Opole,127839,83
Tychy,126871,40
Gorzów Wielkopolski,122589,36
Elbląg,118582,27
Dąbrowa Górnicza,118285,43
Płock,118268,26
Wałbrzych,109971,23
Włocławek,108561,14
Tarnów,107498,20
Chorzów,106846,33
Koszalin,106235,31
Kalisz,99106,6
Legnica,98436,33
Grudziądz,93564,16
Jaworzno,90368,10
Słupsk,89780,41
Jastrzębie-Zdrój,88038,12
Nowy Sącz,83558,33
Jelenia Góra,78335,12
Siedlce,77813,27
Mysłowice,74559,12
Konin,72539,15
Piła,72527,10
Piotrków Trybunalski,72250,14
Lubin,71710,14
Inowrocław,71674,19
Ostrów Wielkopolski,71560,19
Suwałki,69639,5
Stargard,67579,32
Gniezno,67570,11
Ostrowiec Świętokrzyski,67404,25
Siemianowice Śląskie,66270,13
Głogów,66120,20
Pabianice,63945,16
Leszno,62854,31
Żory,62844,15
Zamość,62785,27
Pruszków,62623,41
Łomża,62573,5
Ełk,61903,12
Tarnowskie Góry,61756,26
Tomaszów Mazowiecki,61338,5
Chełm,61135,24
Mielec,60075,12
Kędzierzyn-Koźle,60021,9
Przemyśl,59779,14
Stalowa Wola,59623,1
Tczew,59430,29
Biała Podlaska,56942,10
Bełchatów,56419,10
Świdnica,56222,33
Będzin,56008,33
Zgierz,55673,13
Piekary Śląskie,54702,7
Racibórz,54259,18
Legionowo,53529,22
Ostrołęka,51656,1
Rumia,49536,30
Świętochłowice,49108,8
Wejherowo,49099,80
Zawiercie,48703,18
Piaseczno,48670,54
Skierniewice,47655,7
Starachowice,47638,12
Wodzisław Śląski,47576,35
Starogard Gdański,47272,16
Puławy,46965,14
Tarnobrzeg,46360,10
Kołobrzeg,46198,36
Krosno,45948,39
Radomsko,45353,13
Dębica,45189,9
Otwock,44317,12
Skarżysko-Kamienna,44260,14
Ciechanów,43883,7
Nysa,43356,3
Kutno,43332,8
Sieradz,41390,14
Zduńska Wola,41288,4
Mikołów,41003,17
Świnoujście,40948,17
Mińsk Mazowiecki,40916,9
Szczecinek,39827,5
Chojnice,39647,22
Żyrardów,39550,2
Świdnik,38763,7
Ząbki,38546,23
Bolesławiec,38486,8
Kwidzyn,38329,6
Nowa Sól,38191,18
Malbork,38101,19
Knurów,37801,12
Oświęcim,37569,18
Jarosław,37073,11
Żary,37052,22
Sanok,36999,6
Oleśnica,36979,9
Wołomin,36848,66
Marki,36816,13
Chrzanów,36118,33
Sochaczew,35891,18
Czechowice-Dziedzice,35839,12
Sopot,35286,23
Brzeg,35226,21
Lębork,35101,29
Olkusz,34757,10
Jasło,34542,6
Cieszyn,33981,28
Kraśnik,33917,10
Nowy Targ,33257,11
Iława,33206,10
Oława,33087,15
Dzierżoniów,32869,10
Ostróda,32714,9
Grodzisk Mazowiecki,32452,24
Police,32243,18
Luboń,32015,14
Pruszcz Gdański,31578,24
Myszków,31261,12
Mława,31129,4
Czeladź,31039,6
Września,31000,11
Żywiec,30733,31
Augustów,29946,4
Swarzędz,29862,29
Zgorzelec,29810,15
Bochnia,29554,2
Bielawa,29523,7
Łuków,29441,3
Śrem,29176,4
Giżycko,28964,5
Brodnica,28701,11
Krotoszyn,28701,3
Nowy Dwór Mazowiecki,28691,8
Łowicz,27896,5
Czerwionka-Leszczyny,27888,7
Wyszków,26980,4
Gorlice,26973,6
Zakopane,26846,21
Kętrzyn,26788,4
Reda,26707,14
Jarocin,26453,5
Turek,26441,3
