Warszawa,1794166,927
Kraków,779966,411
Łódź,672185,291
Wrocław,641928,413
Poznań,532048,346
Gdańsk,470805,258
Szczecin,398255,186
Bydgoszcz,344091,124
Lublin,338586,144
Białystok,296958,101
Katowice,290553,155
Gdynia,244969,128
Częstochowa,217530,107
Radom,209296,59
Toruń,198613,69
Rzeszów,197863,71
Sosnowiec,197586,62
Kielce,193415,104
Gliwice,177049,81
Olsztyn,171249,77
Zabrze,170924,52
Bielsko-Biała,169756,73
Bytom,163255,52
Zielona Góra,140892,62
Rybnik,137128,56
Ruda Śląska,136423,43
Opole,127839,46
Tychy,126871,59
Gorzów Wielkopolski,122589,54
Elbląg,118582,33
Dąbrowa Górnicza,118285,50
Płock,118268,43
Wałbrzych,109971,23
Włocławek,108561,39
Tarnów,107498,31
Chorzów,106846,48
Koszalin,106235,42
Kalisz,99106,15
Legnica,98436,36
Grudziądz,93564,19
Jaworzno,90368,22
Słupsk,89780,34
Jastrzębie-Zdrój,88038,29
Nowy Sącz,83558,38
Jelenia Góra,78335,29
Siedlce,77813,25
Mysłowice,74559,24
Konin,72539,24
Piła,72527,16
Piotrków Trybunalski,72250,35
Lubin,71710,22
Inowrocław,71674,34
Ostrów Wielkopolski,71560,24
Suwałki,69639,11
Stargard,67579,27
Gniezno,67570,22
Ostrowiec Świętokrzyski,67404,29
Siemianowice Śląskie,66270,17
Głogów,66120,20
Pabianice,63945,26
Leszno,62854,34
Żory,62844,27
Zamość,62785,17
Pruszków,62623,29
Łomża,62573,11
Ełk,61903,19
Tarnowskie Góry,61756,19
Tomaszów Mazowiecki,61338,13
Chełm,61135,19
Mielec,60075,11
Kędzierzyn-Koźle,60021,22
Przemyśl,59779
Stalowa Wola,59623,9
Tczew,59430,24
Biała Podlaska,56942,24
Bełchatów,56419,25
Świdnica,56222,24
Będzin,56008,22
Zgierz,55673,21
Piekary Śląskie,54702,12
Racibórz,54*259,21
Legionowo,53529,21
Ostrołęka,51656,8
Rumia,49536,27
Świętochłowice,49108,10
Wejherowo,49099,23
Zawiercie,48703,17
Piaseczno,48670,25
Skierniewice,47655,19
Starachowice,47638,12
Wodzisław Śląski,47576,21
Starogard Gdański,47272,12
Puławy,46965,22
Tarnobrzeg,46360,11
Kołobrzeg,46198,26
Krosno,45948,18
Radomsko,45353,21
Dębica,45189,8
Otwock,44317,10
Skarżysko-Kamienna,44260,14
Ciechanów,43883,15
Nysa,43356,11
Kutno,43332,16
Sieradz,41390,17
Zduńska Wola,41288,14
Mikołów,41003,11
Świnoujście,40948,23
Mińsk Mazowiecki,40916,16
Szczecinek,39827,17
Chojnice,39647,10
Żyrardów,39550,15
Świdnik,38763,10
Ząbki,38546,19
Bolesławiec,38486,10
Kwidzyn,38329,16
Nowa Sól,38191,17
Malbork,38101,15
