city,population,zabkaCount,index,perCapita
Poznań,532048,346,100,6.5
Wrocław,641928,413,98.9,6.43
Kołobrzeg,46198,26,86.5,5.63
Gdańsk,470805,258,84.3,5.48
Rumia,49536,27,83.8,5.45
Leszno,62854,34,83.2,5.41
Kielce,193415,104,82.7,5.38
Katowice,290553,155,82,5.33
Kraków,779966,411,81,5.27
Gdynia,244969,128,80.3,5.23
Warszawa,1794166,927,79.4,5.17
Piaseczno,48670,25,79,5.14
Częstochowa,217530,107,75.6,4.92
Piotrków Trybunalski,72250,35,74.5,4.84
Inowrocław,71674,34,72.9,4.74
Wejherowo,49099,23,72,4.68
Puławy,46965,22,72,4.68
Szczecin,398255,186,71.8,4.67
Tychy,126871,59,71.5,4.65
Pruszków,62623,29,71.2,4.63
Radomsko,45353,21,71.2,4.63
Gliwice,177049,81,70.3,4.58
Nowy Sącz,83558,38,69.9,4.55
Olsztyn,171249,77,69.1,4.5
Chorzów,106846,48,69.1,4.49
Bełchatów,56419,25,68.1,4.43
Wodzisław Śląski,47576,21,67.9,4.41
Zielona Góra,140892,62,67.7,4.4
Gorzów Wielkopolski,122589,54,67.7,4.4
Łódź,672185,291,66.6,4.33
Ostrowiec Świętokrzyski,67404,29,66.2,4.3
Bielsko-Biała,169756,73,66.1,4.3
Żory,62844,27,66.1,4.3
Świdnica,56222,24,65.6,4.27
Lublin,338586,144,65.4,4.25
Dąbrowa Górnicza,118285,50,65,4.23
Biała Podlaska,56942,24,64.8,4.21
Rybnik,137128,56,62.8,4.08
Pabianice,63945,26,62.5,4.07
Tczew,59430,24,62.1,4.04
Stargard,67579,27,61.4,4
Skierniewice,47655,19,61.3,3.99
Koszalin,106235,42,60.8,3.95
Będzin,56008,22,60.4,3.93
Legionowo,53529,21,60.3,3.92
Krosno,45948,18,60.2,3.92
Słupsk,89780,34,58.2,3.79
Zgierz,55673,21,58,3.77
Jelenia Góra,78335,29,56.9,3.7
Kędzierzyn-Koźle,60021,22,56.4,3.67
Legnica,98436,36,56.2,3.66
Płock,118268,43,55.9,3.64
Bydgoszcz,344091,124,55.4,3.6
Opole,127839,46,55.3,3.6
Rzeszów,197863,71,55.2,3.59
Włocławek,108561,39,55.2,3.59
